Name,Url,Authority,Started On,Finished On,License Number
Ethics in the Age of Generative AI,https://www.linkedin.com/learning/certificates/b8ad5cc1ef6433d606ad44656015fcca8e3ef737203c0461336eb71126a3f7b5,LinkedIn,Apr 2026,,
Build Your Generative AI Productivity Skills with Microsoft and LinkedIn,https://www.linkedin.com/learning/certificates/b537ae7907b82a74ceb9998ab445e5ab8657aa5ca00e46a33a6f1b10013d34e8,Microsoft,Apr 2026,,
Everyday AI Concepts,https://www.linkedin.com/learning/certificates/3e3e2866a8da11775577693bf9a33ad263e3432555fb8520336e0c7e82e48629?trk=share_certificate,LinkedIn,Apr 2026,,
What Is Generative AI?,https://www.linkedin.com/learning/certificates/3b891009d1cd290dccb350489f733bc62827d71f6abfa861c61d6f3639bf5103,LinkedIn,Apr 2026,,
Words Matter: How to Communicate with Children so they Thrive — Words Matter,https://www.futurelearn.com/certificates/7sbrq2s,FutureLearn,Apr 2026,,
Forensic Psychology: Witness Investigation,https://www.futurelearn.com/certificates/lcnku2j,The Open University,Apr 2026,,
Social Learning and Collaboration in School: Learning to thrive through play,https://www.futurelearn.com/certificates/nannuay,The LEGO Foundation,Apr 2026,,
Bioinformatics for Biologists: Analysing and Interpreting Genomics Datasets,https://www.futurelearn.com/certificates/dxewkd1,FutureLearn,Apr 2026,,
Digital Skills: Social Media,https://www.futurelearn.com/certificates/brlyqur,Accenture,Apr 2026,,
Digital Skills: Digital Marketing,https://www.futurelearn.com/certificates/64cfcrm,Accenture,Apr 2026,,
Digital Skills: Artificial Intelligence,https://www.futurelearn.com/certificates/krruov7,Accenture,Apr 2026,,
Digital Skills: User Experience,https://www.futurelearn.com/certificates/2uloflt,Accenture,Apr 2026,,
Marketing in the New Digital Era,https://www.futurelearn.com/certificates/8r3yd31,FutureLearn,Apr 2026,,
Inclusive Leadership: Collaborating for professional development,https://www.open.edu/openlearn/,The Open University,Apr 2026,,
Inclusive Leadership: Effecting change,https://www.open.edu/openlearn/,The Open University,Apr 2026,,
Leadership for inclusion: thinking it through,https://www.open.edu/openlearn/,The Open University,Apr 2026,,
Leadership for inclusion: what can you do?,https://www.open.edu/openlearn/,The Open University,Apr 2026,,
Information security,https://www.open.edu/openlearn/,The Open University,Apr 2026,,
Strategic Communication & Teamwork,https://www.santanderopenacademy.com/,Santander Open Academy,Apr 2026,,OA-2026-0427002539150
Physical and mental health for young children,https://www.open.edu/openlearn/,The Open University,Apr 2026,,
Citi - Personal Banking,https://www.theforage.com/completion-certificates/8eNRcRqBZM9HLvwGw/uXC3LSjpH4J7Z9x2M_8eNRcRqBZM9HLvwGw_69f15d41409dc5f29354526a_1777426360337_completion_certificate.pdf,Citi,Apr 2026,,79HsrvRB66rrreAoF
PNC - Overview of Financial Services and Banking,https://www.theforage.com/completion-certificates/3W4C6QjJzfhEmi4Ay/KfhEd8StnWdjsTGsw_3W4C6QjJzfhEmi4Ay_69f15d41409dc5f29354526a_1777426996916_completion_certificate.pdf,PNC,Apr 2026,,e9nDJEDC75zWg39QF
mastercard - Cybersecurity,https://www.theforage.com/completion-certificates/mfxGwGDp6WkQmtmTf/vcKAB5yYAgvemepGQ_mfxGwGDp6WkQmtmTf_69f15d41409dc5f29354526a_1777427503088_completion_certificate.pdf,Mastercard,Apr 2026,,sgzLacPxA9R3S3Liy
Citi - Service,https://www.theforage.com/completion-certificates/8eNRcRqBZM9HLvwGw/tJ3ENBW8jgwYzTRmv_8eNRcRqBZM9HLvwGw_69f15d41409dc5f29354526a_1777464970293_completion_certificate.pdf,Citi,Apr 2026,,ZJ3aKC9TbtSRomQJu
Citi - Markets Sales & Trading,https://www.theforage.com/completion-certificates/8eNRcRqBZM9HLvwGw/gJjSg64PLtchbxKgj_8eNRcRqBZM9HLvwGw_69f15d41409dc5f29354526a_1777465907891_completion_certificate.pdf,Citi,Apr 2026,,WcybCHrK49eeo9fso
Citi - Investment Banking,https://www.theforage.com/completion-certificates/8eNRcRqBZM9HLvwGw/amBSJDTDDFcYiKq9Z_8eNRcRqBZM9HLvwGw_69f15d41409dc5f29354526a_1777476344777_completion_certificate.pdf,Citi,Apr 2026,,SdM5QmXWdYbW6Y3gR
Citi - Wealth,https://www.theforage.com/completion-certificates/8eNRcRqBZM9HLvwGw/249ruQ55C2R3ZAjnt_8eNRcRqBZM9HLvwGw_69f15d41409dc5f29354526a_1777480444352_completion_certificate.pdf,Citi,Apr 2026,,PtfdzgzAGyxga3Smn
Citi - Finance,https://www.theforage.com/completion-certificates/8eNRcRqBZM9HLvwGw/Cf35qdHjFPqLFRhgy_8eNRcRqBZM9HLvwGw_69f15d41409dc5f29354526a_1777483380573_completion_certificate.pdf,Citi,Apr 2026,,qRjXW7CgJc8LbRkpk
Citi - Technology Software Development,https://www.theforage.com/completion-certificates/8eNRcRqBZM9HLvwGw/2jxESPvorR7fmypXj_8eNRcRqBZM9HLvwGw_69f15d41409dc5f29354526a_1777484163604_completion_certificate.pdf,Citi,Apr 2026,,q9qt2arPYEsbxDQyj
Bloomberg - Client Engagement,https://www.theforage.com/completion-certificates/pNeDZ9MsW9WShojQm/cezQYMNq3M3y8pDHw_pNeDZ9MsW9WShojQm_69f15d41409dc5f29354526a_1777484834527_completion_certificate.pdf,Bloomberg,Apr 2026,,MA8WiaoYCJd47Pp3b
Bloomberg - Client Service,https://www.theforage.com/completion-certificates/pNeDZ9MsW9WShojQm/sqYY2sxG2zNqXfHjJ_pNeDZ9MsW9WShojQm_69f15d41409dc5f29354526a_1777486279478_completion_certificate.pdf,Bloomberg,Apr 2026,,E2Ecauhv25nRWqnyu
mastercard - Advisors & Consulting Services,https://www.theforage.com/completion-certificates/mfxGwGDp6WkQmtmTf/DZxgGgvMB6cEtEyJg_mfxGwGDp6WkQmtmTf_69f15d41409dc5f29354526a_1777486726656_completion_certificate.pdf,Mastercard,Apr 2026,,ayr5ty8irh97q7gqg
Goldman Sachs - Controllers,https://www.theforage.com/completion-certificates/MBA4MnZTNFEoJZGnk/vjFao7z4tXKe2EwvK_MBA4MnZTNFEoJZGnk_69f15d41409dc5f29354526a_1777487044958_completion_certificate.pdf,Goldman Sachs,Apr 2026,,6WxGpCDiDSH8SmDBG
Goldman Sachs - Internal Audit,https://www.theforage.com/completion-certificates/MBA4MnZTNFEoJZGnk/dC4ChhAkhpgB7QvGd_MBA4MnZTNFEoJZGnk_69f15d41409dc5f29354526a_1777487369891_completion_certificate.pdf,Goldman Sachs,Apr 2026,,PcSFB4cX3CpGcvXmT
Goldman Sachs - Risk,https://www.theforage.com/completion-certificates/MBA4MnZTNFEoJZGnk/ETGMhLB5eCrYjcH8o_MBA4MnZTNFEoJZGnk_69f15d41409dc5f29354526a_1777487847369_completion_certificate.pdf,Goldman Sachs,Apr 2026,,eK6P88rnekxeT7d2i
Goldman Sachs - Operations,https://www.theforage.com/completion-certificates/MBA4MnZTNFEoJZGnk/wNge9cjzNTXD2acrv_MBA4MnZTNFEoJZGnk_69f15d41409dc5f29354526a_1777488122007_completion_certificate.pdf,Goldman Sachs,Apr 2026,,dWkwSso2DcXENi7o4
Leo Cussen - Family Law,https://www.theforage.com/completion-certificates/RGekxZXJpbZtJrQnH/jZ6sTbKWjJdcqWeZt_RGekxZXJpbZtJrQnH_69f15d41409dc5f29354526a_1777489048476_completion_certificate.pdf,Leo Cussen Centre for Law,Apr 2026,,go3iZLyCSPb2Lte4Z
Leo Cussen - Criminal Law,https://www.theforage.com/completion-certificates/RGekxZXJpbZtJrQnH/5K3NNxbkwjW6wg7ao_RGekxZXJpbZtJrQnH_69f15d41409dc5f29354526a_1777490220468_completion_certificate.pdf,Leo Cussen Centre for Law,Apr 2026,,ARbgftuXHTF2bFieL
AIG - Shields Up: Cybersecurity,https://www.theforage.com/completion-certificates/4nAmAbTbHbnGMNSyo/2ZFnEGEDKTQMtEv9C_4nAmAbTbHbnGMNSyo_69f15d41409dc5f29354526a_1777491706224_completion_certificate.pdf,AIG,Apr 2026,,JduKxWzd7DADkJqPC
Datacom - Cyber Security Operations,https://www.theforage.com/completion-certificates/gCW7Xki5Y3vNpBmnn/yTszJTvkHFBH6zAn3_gCW7Xki5Y3vNpBmnn_69f15d41409dc5f29354526a_1777492040449_completion_certificate.pdf,Datacom,Apr 2026,,WrNkPbogPZegTkL5o
Tata - Cybersecurity Analyst,https://www.theforage.com/completion-certificates/ifobHAoMjQs9s6bKS/gmf3ypEXBj2wvfQWC_ifobHAoMjQs9s6bKS_69f15d41409dc5f29354526a_1777493044127_completion_certificate.pdf,Tata Group,Apr 2026,,WmXMmJav38zyW3xeg
Deloitte - Cyber,https://www.theforage.com/completion-certificates/9PBTqmSxAf6zZTseP/E9pA6qsdbeyEkp3ti_9PBTqmSxAf6zZTseP_69f15d41409dc5f29354526a_1777493290238_completion_certificate.pdf,Deloitte,Apr 2026,,yR6SLW9tEaQBRQcpS
Lloyds Banking Group - Business & Commercial Banking Advanced,https://www.theforage.com/completion-certificates/Zbnc2o4ok6kD2NEXx/FATyQaX5fKsbBDz7g_Zbnc2o4ok6kD2NEXx_69f15d41409dc5f29354526a_1777499755791_completion_certificate.pdf,Lloyds Banking Group,Apr 2026,,Q3GdZjF2SX5Nso79G
BUS305: Foundations of Entrepreneurship,https://learn.saylor.org/admin/tool/certificate/index.php?code=7893619970MM,Saylor University,May 2026,,7893619970MM
BUS401: Management Leadership,https://learn.saylor.org/admin/tool/certificate/index.php?code=8411226929MM,Saylor University,May 2026,,8411226929MM
PRDV224: Leadership and Teams,https://learn.saylor.org/admin/tool/certificate/index.php?code=2193259738MM,Saylor University,May 2026,,2193259738MM
Introduction to Human Communication,https://cursa.app/en/my-certificate/cert1dbe1ca30ca68fd1d32233d9edce674f,Cursa - Free online courses with Certificate,May 2026,,1dbe1ca30ca68fd1d32233d9edce674f
Soft Skills for business,https://cursa.app/en/my-certificate/certba77e24af65e76220377e70ca1be8eb7,Cursa - Free online courses with Certificate,May 2026,,ba77e24af65e76220377e70ca1be8eb7
Public Speaking,https://cursa.app/en/my-certificate/cert1282f13744fd8a9e85b137f7b6cafee4,Cursa - Free online courses with Certificate,May 2026,,1282f13744fd8a9e85b137f7b6cafee4
How To Become A Master In The Art of Public Speaking,https://cursa.app/en/my-certificate/cert57e5b9904bb61a814646525ba76bd280,Cursa - Free online courses with Certificate,May 2026,,57e5b9904bb61a814646525ba76bd280
"Organizational Behaviour (OB) Masterclass: Motivation, Leadership, Communication and Team Dynamics",https://cursa.app/en/my-certificate/cert1d1d3db5621fb10d10f41c93df6571f4,Cursa - Free online courses with Certificate,May 2026,,1d1d3db5621fb10d10f41c93df6571f4
Personal Branding for Professionals: Be Known for the Right Things,https://cursa.app/en/my-certificate/cert90deac523145903877a6b845f4fa158a,Cursa - Free online courses with Certificate,May 2026,,90deac523145903877a6b845f4fa158a
Public Speaking and Presentation Skills,https://cursa.app/en/my-certificate/cert7d0d8b0e7ddf20e3f5f567c82eac0e13,Cursa - Free online courses with Certificate,May 2026,,7d0d8b0e7ddf20e3f5f567c82eac0e13
"Business Negotiation for Non‑Sales Roles: Influence, Trade‑Offs, and Win‑Win Agreements",https://cursa.app/en/my-certificate/cert8c51dc38ddaebeac917d7a73d4710ea3,Cursa - Free online courses with Certificate,May 2026,,8c51dc38ddaebeac917d7a73d4710ea3
Principles of Management,https://cursa.app/en/my-certificate/certe409e3b1f306650b8c8842af5d7be90e,Cursa - Free online courses with Certificate,May 2026,,e409e3b1f306650b8c8842af5d7be90e
Business Analyst,https://cursa.app/en/my-certificate/cert647dbcd82794ab6b19fcd8f849f2ce96,Cursa - Free online courses with Certificate,May 2026,,647dbcd82794ab6b19fcd8f849f2ce96
Effective Leadership and Communication in Project Management,https://cursa.app/en/my-certificate/cert2677272c6c80613daf1a7db76e1f81f3,Cursa - Free online courses with Certificate,May 2026,,2677272c6c80613daf1a7db76e1f81f3
Hybrid working: organisational development,https://www.open.edu/openlearn/,The Open University,May 2026,,
